Linha;Viagens Programadas;Tipo Linha;Tipo Dia;Tipo de Programação;Faixa
Linha;Viagens Programadas;Tipo Linha;Tipo Dia;Tipo de Programação;00-03
100;0;Linha;Dia Útil;100% SMTR;00-03
105;0;Linha;Dia Útil;100% SMTR;00-03
108;0;Linha;Dia Útil;100% SMTR;00-03
110;0;Linha;Dia Útil;100% SMTR;00-03
112;0;Linha;Dia Útil;100% SMTR;00-03
163;0;Linha;Dia Útil;100% SMTR;00-03
LECD110;0;Linha;Dia Útil;100% SMTR;00-03
181;0;Serviço;Dia Útil;100% SMTR;00-03
309;0;Linha;Dia Útil;100% SMTR;00-03
315;0;Linha;Dia Útil;100% SMTR;00-03
440;0;Serviço;Dia Útil;100% SMTR;00-03
443;0;Serviço;Dia Útil;100% SMTR;00-03
444;0;Serviço;Dia Útil;100% SMTR;00-03
460;0;Linha;Dia Útil;100% SMTR;00-03
463;0;Linha;Dia Útil;100% SMTR;00-03
472;1;Linha;Dia Útil;100% SMTR;00-03
538;0;Linha;Dia Útil;100% SMTR;00-03
553;1;Linha;Dia Útil;100% SMTR;00-03
955;0;Serviço;Dia Útil;100% SMTR;00-03
957;0;Serviço;Dia Útil;100% SMTR;00-03
222;0;Linha;Dia Útil;100% SMTR;00-03
585;0;Linha;Dia Útil;100% SMTR;00-03
SN309;19;Linha;Dia Útil;100% SMTR;00-03
SN538;6;Linha;Dia Útil;100% SMTR;00-03
SP309;0;Serviço;Dia Útil;100% SMTR;00-03
SP315;0;Serviço;Dia Útil;100% SMTR;00-03
SP553;0;Serviço;Dia Útil;100% SMTR;00-03
SV112;0;Linha;Dia Útil;100% SMTR;00-03
100;15;Linha;Dia Útil;100% SMTR;03-06
105;2;Linha;Dia Útil;100% SMTR;03-06
108;15;Linha;Dia Útil;100% SMTR;03-06
110;16;Linha;Dia Útil;100% SMTR;03-06
112;16;Linha;Dia Útil;100% SMTR;03-06
163;6;Linha;Dia Útil;100% SMTR;03-06
LECD110;2;Linha;Dia Útil;100% SMTR;03-06
181;1;Serviço;Dia Útil;100% SMTR;03-06
309;37;Linha;Dia Útil;100% SMTR;03-06
315;29;Linha;Dia Útil;100% SMTR;03-06
440;0;Serviço;Dia Útil;100% SMTR;03-06
443;2;Serviço;Dia Útil;100% SMTR;03-06
444;1;Serviço;Dia Útil;100% SMTR;03-06
460;50;Linha;Dia Útil;100% SMTR;03-06
463;22;Linha;Dia Útil;100% SMTR;03-06
472;1;Linha;Dia Útil;100% SMTR;03-06
538;5;Linha;Dia Útil;100% SMTR;03-06
553;4;Linha;Dia Útil;100% SMTR;03-06
955;1;Serviço;Dia Útil;100% SMTR;03-06
957;1;Serviço;Dia Útil;100% SMTR;03-06
222;1;Linha;Dia Útil;100% SMTR;03-06
585;1;Linha;Dia Útil;100% SMTR;03-06
SN309;9;Linha;Dia Útil;100% SMTR;03-06
SN538;3;Linha;Dia Útil;100% SMTR;03-06
SP309;0;Serviço;Dia Útil;100% SMTR;03-06
SP315;6;Serviço;Dia Útil;100% SMTR;03-06
SP553;0;Serviço;Dia Útil;100% SMTR;03-06
SV112;10;Linha;Dia Útil;100% SMTR;03-06
100;33;Linha;Dia Útil;100% SMTR;06-09
105;2;Linha;Dia Útil;100% SMTR;06-09
108;42;Linha;Dia Útil;100% SMTR;06-09
110;52;Linha;Dia Útil;100% SMTR;06-09
112;60;Linha;Dia Útil;100% SMTR;06-09
163;32;Linha;Dia Útil;100% SMTR;06-09
LECD110;7;Linha;Dia Útil;100% SMTR;06-09
181;3;Serviço;Dia Útil;100% SMTR;06-09
309;72;Linha;Dia Útil;100% SMTR;06-09
315;48;Linha;Dia Útil;100% SMTR;06-09
440;1;Serviço;Dia Útil;100% SMTR;06-09
443;1;Serviço;Dia Útil;100% SMTR;06-09
444;0;Serviço;Dia Útil;100% SMTR;06-09
460;94;Linha;Dia Útil;100% SMTR;06-09
463;60;Linha;Dia Útil;100% SMTR;06-09
472;3;Linha;Dia Útil;100% SMTR;06-09
538;24;Linha;Dia Útil;100% SMTR;06-09
553;6;Linha;Dia Útil;100% SMTR;06-09
955;0;Serviço;Dia Útil;100% SMTR;06-09
957;0;Serviço;Dia Útil;100% SMTR;06-09
222;5;Linha;Dia Útil;100% SMTR;06-09
585;3;Linha;Dia Útil;100% SMTR;06-09
SN309;0;Linha;Dia Útil;100% SMTR;06-09
SN538;0;Linha;Dia Útil;100% SMTR;06-09
SP309;4;Serviço;Dia Útil;100% SMTR;06-09
SP315;10;Serviço;Dia Útil;100% SMTR;06-09
SP553;6;Serviço;Dia Útil;100% SMTR;06-09
SV112;35;Linha;Dia Útil;100% SMTR;06-09
100;33;Linha;Dia Útil;100% SMTR;09-12
105;0;Linha;Dia Útil;100% SMTR;09-12
108;37;Linha;Dia Útil;100% SMTR;09-12
110;35;Linha;Dia Útil;100% SMTR;09-12
112;40;Linha;Dia Útil;100% SMTR;09-12
163;19;Linha;Dia Útil;100% SMTR;09-12
LECD110;4;Linha;Dia Útil;100% SMTR;09-12
181;0;Serviço;Dia Útil;100% SMTR;09-12
309;56;Linha;Dia Útil;100% SMTR;09-12
315;29;Linha;Dia Útil;100% SMTR;09-12
440;0;Serviço;Dia Útil;100% SMTR;09-12
443;0;Serviço;Dia Útil;100% SMTR;09-12
444;0;Serviço;Dia Útil;100% SMTR;09-12
460;74;Linha;Dia Útil;100% SMTR;09-12
463;28;Linha;Dia Útil;100% SMTR;09-12
472;3;Linha;Dia Útil;100% SMTR;09-12
538;17;Linha;Dia Útil;100% SMTR;09-12
553;6;Linha;Dia Útil;100% SMTR;09-12
955;0;Serviço;Dia Útil;100% SMTR;09-12
957;0;Serviço;Dia Útil;100% SMTR;09-12
222;4;Linha;Dia Útil;100% SMTR;09-12
585;2;Linha;Dia Útil;100% SMTR;09-12
SN309;0;Linha;Dia Útil;100% SMTR;09-12
SN538;0;Linha;Dia Útil;100% SMTR;09-12
SP309;0;Serviço;Dia Útil;100% SMTR;09-12
SP315;0;Serviço;Dia Útil;100% SMTR;09-12
SP553;0;Serviço;Dia Útil;100% SMTR;09-12
SV112;20;Linha;Dia Útil;100% SMTR;09-12
100;33;Linha;Dia Útil;100% SMTR;12-15
105;0;Linha;Dia Útil;100% SMTR;12-15
108;32;Linha;Dia Útil;100% SMTR;12-15
110;35;Linha;Dia Útil;100% SMTR;12-15
112;30;Linha;Dia Útil;100% SMTR;12-15
163;16;Linha;Dia Útil;100% SMTR;12-15
LECD110;3;Linha;Dia Útil;100% SMTR;12-15
181;0;Serviço;Dia Útil;100% SMTR;12-15
309;46;Linha;Dia Útil;100% SMTR;12-15
315;29;Linha;Dia Útil;100% SMTR;12-15
440;0;Serviço;Dia Útil;100% SMTR;12-15
443;0;Serviço;Dia Útil;100% SMTR;12-15
444;0;Serviço;Dia Útil;100% SMTR;12-15
460;62;Linha;Dia Útil;100% SMTR;12-15
463;24;Linha;Dia Útil;100% SMTR;12-15
472;3;Linha;Dia Útil;100% SMTR;12-15
538;14;Linha;Dia Útil;100% SMTR;12-15
553;6;Linha;Dia Útil;100% SMTR;12-15
955;0;Serviço;Dia Útil;100% SMTR;12-15
957;0;Serviço;Dia Útil;100% SMTR;12-15
222;3;Linha;Dia Útil;100% SMTR;12-15
585;2;Linha;Dia Útil;100% SMTR;12-15
SN309;0;Linha;Dia Útil;100% SMTR;12-15
SN538;0;Linha;Dia Útil;100% SMTR;12-15
SP309;0;Serviço;Dia Útil;100% SMTR;12-15
SP315;0;Serviço;Dia Útil;100% SMTR;12-15
SP553;0;Serviço;Dia Útil;100% SMTR;12-15
SV112;18;Linha;Dia Útil;100% SMTR;12-15
100;33;Linha;Dia Útil;100% SMTR;15-18
105;3;Linha;Dia Útil;100% SMTR;15-18
108;35;Linha;Dia Útil;100% SMTR;15-18
110;40;Linha;Dia Útil;100% SMTR;15-18
112;40;Linha;Dia Útil;100% SMTR;15-18
163;23;Linha;Dia Útil;100% SMTR;15-18
LECD110;5;Linha;Dia Útil;100% SMTR;15-18
181;0;Serviço;Dia Útil;100% SMTR;15-18
309;63;Linha;Dia Útil;100% SMTR;15-18
315;46;Linha;Dia Útil;100% SMTR;15-18
440;0;Serviço;Dia Útil;100% SMTR;15-18
443;0;Serviço;Dia Útil;100% SMTR;15-18
